date,team1,team2,score1,score2,winner
2024-03-20T10:05Z,SD,LAD,2,5,0
2024-03-20T17:05Z,MIN,DET,3,12,0
2024-03-20T17:05Z,ATL,TOR,10,9,1
2024-03-20T17:10Z,MIA,NYM,3,6,0
2024-03-20T20:05Z,OAK,CHC,3,1,1
2024-03-20T20:05Z,CHW,CIN,1,3,0
2024-03-20T20:05Z,CIN,TEX,1,8,0
2024-03-20T20:10Z,ARI,COL,5,1,1
2024-03-20T20:10Z,LAA,SF,2,5,0
2024-03-20T22:05Z,BAL,PHI,13,4,1
2024-03-20T22:05Z,WSH,STL,4,13,0
2024-03-20T22:35Z,NYY,PIT,12,0,1
2024-03-21T01:05Z,KC,LAA,8,8,0
2024-03-21T10:05Z,LAD,SD,11,15,0
2024-03-21T17:00Z,STL,HOU,1,9,0
2024-03-21T17:05Z,WSH,MIN,9,8,1
2024-03-21T17:05Z,ATL,NYY,5,2,1
2024-03-21T17:05Z,DET,NYM,5,10,0
2024-03-21T17:05Z,PHI,TB,5,6,0
2024-03-21T20:05Z,KC,CHW,3,3,0
2024-03-21T20:05Z,CLE,KC,8,5,1
2024-03-21T20:10Z,COL,CHC,2,5,0
2024-03-21T22:05Z,BOS,BAL,3,2,1
2024-03-21T22:05Z,PIT,TOR,2,3,0
2024-03-22T01:10Z,MIL,SF,6,7,0
2024-03-22T01:40Z,SEA,CIN,7,6,1
2024-03-22T17:00Z,NYY,NYM,5,3,1
2024-03-22T17:05Z,PHI,DET,3,4,0
2024-03-22T17:07Z,TOR,BOS,5,1,1
2024-03-22T20:05Z,SF,CHC,13,12,1
2024-03-22T20:05Z,OAK,CIN,8,6,1
2024-03-22T20:05Z,TEX,COL,2,3,0
2024-03-22T20:05Z,CHW,OAK,8,2,1
2024-03-22T20:05Z,CHC,SF,3,7,0
2024-03-22T20:05Z,CLE,TEX,10,0,1
2024-03-22T20:10Z,LAA,CHW,2,0,1
2024-03-22T20:10Z,MIL,KC,11,5,1
2024-03-22T20:10Z,SEA,MIL,4,4,0
2024-03-22T20:10Z,ARI,SEA,3,3,0
2024-03-23T17:00Z,NYY,PHI,6,6,0
2024-03-23T17:05Z,TB,BAL,4,6,0
2024-03-23T17:05Z,PIT,BOS,4,1,1
2024-03-23T17:05Z,DET,NYY,11,6,1
2024-03-23T17:05Z,ATL,TB,2,5,0
2024-03-23T17:05Z,STL,WSH,2,2,0
2024-03-23T17:07Z,TOR,DET,7,10,0
2024-03-23T17:10Z,NYM,HOU,5,13,0
2024-03-23T19:05Z,OAK,LAA,11,5,1
2024-03-23T19:05Z,KC,TEX,1,1,0
2024-03-23T20:05Z,SF,ARI,5,11,0
2024-03-23T20:05Z,CIN,COL,6,2,1
2024-03-23T20:05Z,CHC,MIL,4,7,0
2024-03-23T20:05Z,CHW,SEA,2,8,0
2024-03-23T20:10Z,ARI,CLE,0,5,0
2024-03-23T22:05Z,WSH,MIA,3,5,0
2024-03-23T22:05Z,BOS,MIN,8,6,1
2024-03-23T22:05Z,BAL,TOR,3,2,1
2024-03-24T16:05Z,HOU,STL,9,4,1
2024-03-24T17:00Z,BOS,ATL,5,5,0
2024-03-24T17:05Z,MIN,BAL,3,8,0
2024-03-24T17:05Z,PIT,NYY,0,1,0
2024-03-24T17:05Z,DET,TB,3,2,1
2024-03-24T17:05Z,PHI,TOR,2,0,1
2024-03-24T17:10Z,MIA,NYM,5,1,1
2024-03-24T17:10Z,NYM,WSH,10,1,1
2024-03-24T20:05Z,CIN,CLE,7,10,0
2024-03-24T20:10Z,MIL,ARI,14,4,1
2024-03-24T20:10Z,COL,CHW,7,3,1
2024-03-24T20:10Z,SEA,CHC,9,9,0
2024-03-24T23:10Z,LAD,LAA,5,3,1
2024-03-25T16:05Z,PHI,TB,3,6,0
2024-03-25T17:05Z,ATL,MIN,4,0,1
2024-03-25T17:05Z,PIT,TOR,4,3,1
2024-03-25T17:05Z,NYY,NYM,3,0,1
2024-03-25T20:05Z,CHC,STL,3,6,0
2024-03-25T20:10Z,MIL,COL,10,1,1
2024-03-26T00:05Z,TEX,BOS,2,9,0
2024-03-26T01:00Z,LAD,LAA,0,6,0
2024-03-26T01:40Z,ARI,CLE,6,0,1
2024-03-26T01:40Z,SD,SEA,1,4,0
2024-03-26T01:40Z,OAK,SF,1,4,0
2024-03-26T16:35Z,TB,DET,3,3,0
2024-03-26T17:05Z,MIN,ATL,9,6,1
2024-03-26T18:05Z,TEX,BOS,1,4,0
2024-03-26T19:00Z,CHC,STL,2,7,0
2024-03-26T19:10Z,COL,MIL,6,1,1
2024-03-26T19:40Z,ARI,CLE,6,1,1
2024-03-26T20:10Z,SD,SEA,6,7,0
