date,team1,team2,score1,score2,winner
2024-09-06T00:40Z,KC,BAL,27,20,1
2024-09-07T00:15Z,PHI,GB,34,29,1
2024-09-08T17:00Z,ATL,PIT,10,18,0
2024-09-08T17:00Z,BUF,ARI,34,28,1
2024-09-08T17:00Z,CHI,TEN,24,17,1
2024-09-08T17:00Z,CIN,NE,10,16,0
2024-09-08T17:00Z,IND,HOU,27,29,0
2024-09-08T17:00Z,MIA,JAX,20,17,1
2024-09-08T17:00Z,NO,CAR,47,10,1
2024-09-08T17:00Z,NYG,MIN,6,28,0
2024-09-08T20:05Z,SEA,DEN,26,20,1
2024-09-08T20:25Z,CLE,DAL,17,33,0
2024-09-08T20:25Z,TB,WSH,37,20,1
2024-09-09T00:20Z,DET,LAR,26,20,1
2024-09-10T00:15Z,SF,NYJ,32,19,1
2024-09-13T00:15Z,MIA,BUF,10,31,0
2024-09-15T17:00Z,DAL,NO,19,44,0
2024-09-15T17:00Z,DET,TB,16,20,0
2024-09-15T17:00Z,GB,IND,16,10,1
2024-09-15T17:00Z,TEN,NYJ,17,24,0
2024-09-15T17:00Z,MIN,SF,23,17,1
2024-09-15T17:00Z,NE,SEA,20,23,0
2024-09-15T17:00Z,WSH,NYG,21,18,1
2024-09-15T17:00Z,CAR,LAC,3,26,0
2024-09-15T17:00Z,JAX,CLE,13,18,0
2024-09-15T20:05Z,ARI,LAR,41,10,1
2024-09-15T20:25Z,DEN,PIT,6,13,0
2024-09-15T20:25Z,KC,CIN,26,25,1
2024-09-16T00:20Z,HOU,CHI,19,13,1
2024-09-17T00:15Z,PHI,ATL,21,22,0
2024-09-20T00:15Z,NYJ,NE,24,3,1
2024-09-22T17:00Z,CLE,NYG,15,21,0
2024-09-22T17:00Z,TEN,GB,14,30,0
2024-09-22T17:00Z,IND,CHI,21,16,1
2024-09-22T17:00Z,MIN,HOU,34,7,1
2024-09-22T17:00Z,NO,PHI,12,15,0
2024-09-22T17:00Z,PIT,LAC,20,10,1
2024-09-22T17:00Z,TB,DEN,7,26,0
2024-09-22T20:05Z,SEA,MIA,24,3,1
2024-09-22T20:25Z,DAL,BAL,25,28,0
2024-09-22T20:25Z,LAR,SF,27,24,1
2024-09-22T20:25Z,ARI,DET,13,20,0
2024-09-23T00:20Z,ATL,KC,17,22,0
2024-09-23T23:30Z,BUF,JAX,47,10,1
2024-09-24T00:15Z,CIN,WSH,33,38,0
2024-09-27T00:15Z,NYG,DAL,15,20,0
2024-09-29T17:00Z,ATL,NO,26,24,1
2024-09-29T17:00Z,CHI,LAR,24,18,1
2024-09-29T17:00Z,GB,MIN,29,31,0
2024-09-29T17:00Z,IND,PIT,27,24,1
2024-09-29T17:00Z,NYJ,DEN,9,10,0
2024-09-29T17:00Z,TB,PHI,33,16,1
2024-09-29T17:00Z,CAR,CIN,24,34,0
2024-09-29T17:00Z,HOU,JAX,24,20,1
2024-09-29T20:05Z,ARI,WSH,14,42,0
2024-09-29T20:05Z,SF,NE,30,13,1
2024-09-29T20:25Z,LAC,KC,10,17,0
2024-09-30T00:20Z,BAL,BUF,35,10,1
2024-09-30T23:30Z,MIA,TEN,12,31,0
